"ID"	"recapture"	"capture_method"	"ringing_scheme"	"ringnr"	"side_ringnr"	"color_alu"	"color"	"code"	"side_color"	"species"	"Sex"	"Age"	"age_nestling"	"accuracy_age_nestling"	"day"	"month"	"year"	"time_hour"	"time_min"	"time_ringing"	"location"	"broodID"	"xCoord"	"yCoord"	"xCoordInt"	"yCoordInt"	"Elevation"	"Wing"	"method_wing"	"P1"	"P8"	"Federfahne"	"Tarsus"	"tail"	"weight"	"weight_after_defecation"	"Fat"	"Muscle"	"breeding_patch"	"beak_colour"	"Bill_length"	"Bill_width"	"Bill_height"	"logger_deployed"	"logger_retrieved"	"notes"	"Body_length"	"method_body_size"	"ringer"	"ring_owner"	"owner"	"salivary_swap"	"faeces_sample"	"blood_sample"	"picture_name"	"Aggression_score"	"sex.genetics"	"year.f"	"month.num"
307	"recapture"	"mistnet"	""	"N   544331"	"right"	"metallic"	"grey"	"E10"	"left"	"Montifringilla nivalis"	"0"	6	NA	NA	11	"1"	2018	14	NA	""	"Furka UR"	""	678389	160693	NA	NA	2110	125	""	NA	95	NA	23.5	NA	42	NA	3	2	""	""	11.2	NA	NA	""	""	"odd thing on belly, see picture"	NA	""	"FK"	""	"Swiss Ornithological Institute"	"yes"	""	""	""	NA	"m"	"2018"	1
308	"first capture"	"mistnet"	""	"N   588051"	"right"	"blue"	"grey"	"A92"	"left"	"Montifringilla nivalis"	"2"	4	NA	NA	11	"1"	2018	14	NA	""	"Furka UR"	""	678389	160693	NA	NA	2110	118	""	NA	88.5	NA	22	NA	39	NA	3	2	""	""	11	NA	NA	""	""	""	NA	""	"FK"	""	"Swiss Ornithological Institute"	"yes"	""	""	""	NA	"f"	"2018"	1
309	"first capture"	"mistnet"	""	"N   588052"	"right"	"blue"	"grey"	"C20"	"left"	"Montifringilla nivalis"	"1"	4	NA	NA	11	"1"	2018	15	NA	""	"Furka UR"	""	678389	160693	NA	NA	2110	126	""	NA	98	NA	23.3	NA	44	NA	4	2	""	""	11.3	NA	NA	""	""	""	NA	""	"FK"	""	"Swiss Ornithological Institute"	"yes"	""	""	""	NA	"m"	"2018"	1
310	"recapture"	"mistnet"	""	"N   566736"	"right"	"blue"	"grey"	"A39"	"left"	"Montifringilla nivalis"	"2"	6	NA	NA	11	"1"	2018	15	NA	""	"Furka UR"	""	678389	160693	NA	NA	2110	120	""	NA	91.5	NA	22.5	NA	42	NA	2	2	""	""	10.8	NA	NA	""	""	""	NA	""	"FK"	""	"Swiss Ornithological Institute"	"no"	""	""	""	NA	"f"	"2018"	1
311	"first capture"	"mistnet"	""	"N   588053"	"right"	"blue"	"grey"	"G00"	"left"	"Montifringilla nivalis"	"1"	4	NA	NA	11	"1"	2018	15	NA	""	"Furka UR"	""	678389	160693	NA	NA	2110	129	""	NA	98.5	NA	23	NA	41.5	NA	3	2	""	""	11.4	NA	NA	""	""	""	NA	""	"FK"	""	"Swiss Ornithological Institute"	"yes"	""	""	""	NA	"m"	"2018"	1
312	"first capture"	"mistnet"	""	"N   588054"	"right"	"blue"	"grey"	"A40"	"left"	"Montifringilla nivalis"	"1"	4	NA	NA	11	"1"	2018	15	NA	""	"Furka UR"	""	678389	160693	NA	NA	2110	125	""	NA	94.5	NA	22.5	NA	45	NA	NA	NA	""	""	10.6	NA	NA	""	""	""	NA	""	"FK"	""	"Swiss Ornithological Institute"	"yes"	""	""	""	NA	"m"	"2018"	1
313	"first capture"	"mistnet"	""	"N   588055"	"right"	"blue"	"grey"	"A96"	"left"	"Montifringilla nivalis"	"2"	4	NA	NA	11	"1"	2018	15	NA	""	"Furka UR"	""	678389	160693	NA	NA	2110	121.5	""	NA	92	NA	22.4	NA	40	NA	3	2	""	""	11.1	NA	NA	""	""	""	NA	""	"FK"	""	"Swiss Ornithological Institute"	"yes"	""	""	""	NA	"f"	"2018"	1
314	"first capture"	"mistnet"	""	"N   588056"	"right"	"blue"	"grey"	"G31"	"left"	"Montifringilla nivalis"	"1"	4	NA	NA	11	"1"	2018	15	NA	""	"Furka UR"	""	678389	160693	NA	NA	2110	125	""	NA	94	NA	23.3	NA	42.5	NA	2	2	""	""	11.5	NA	NA	""	""	""	NA	""	"FK"	""	"Swiss Ornithological Institute"	"yes"	""	""	""	NA	"m"	"2018"	1
316	"first capture"	"mistnet"	""	"N   588058"	"right"	"blue"	"grey"	"E49"	"left"	"Montifringilla nivalis"	"1"	4	NA	NA	11	"1"	2018	15	NA	""	"Furka UR"	""	678389	160693	NA	NA	2110	122	""	NA	93.5	NA	23.9	NA	45	NA	4	2	""	""	11.3	NA	NA	""	""	""	NA	""	"FK"	""	"Swiss Ornithological Institute"	"yes"	""	""	""	NA	"m"	"2018"	1
317	"first capture"	"mistnet"	""	"N   588059"	"right"	"blue"	"grey"	"G91"	"left"	"Montifringilla nivalis"	"2"	4	NA	NA	11	"1"	2018	15	NA	""	"Furka UR"	""	678389	160693	NA	NA	2110	120.5	""	NA	92	NA	22.7	NA	40	NA	3	2	""	""	10.5	NA	NA	""	""	""	NA	""	"FK"	""	"Swiss Ornithological Institute"	"yes"	""	""	""	NA	"f"	"2018"	1
