"ID";"broodID";"nestsiteID";"species";"weight_nest";"feathers_nest_nb";"lining_nest_material";"maleID";"femaleID";"parent1ID";"parent2ID";"parent3ID";"min_nr_ad_feeding";"information";"year";"day_nest_build_start";"month_nest_build_start";"day_raw_nest";"month_raw_nest";"day_full_nest";"month_full_nest";"weight_clutch";"day first egg";"month first egg";"accuracy first egg";"number of eggs";"days laying eggs";"day_incubation_start";"month_incubation_start";"accuracy_incubation_start";"day hatching first egg";"month hatching first egg";"accuracy_hatching";"days hatching chicks";"number of nestlings_early";"age of nestlings_early";"age difference";"number of nestlings_late";"age of nestlings_late";"number of fledglings";"day of fledging";"month of fledging";"accuracy fledging";"day_egg_loss";"month_of_egg_loss";"accuracy_date_egg_loss";"cause of egg loss";"day_of_death_nestlings";"month_of_death_nestlings";"accuracy_data_death_nestling";"cause of death nestlings";"notes";"owner_data";"incubation_temp";"microclim_temp";"nest_camera";"min_nr_nestl_late"
1;"Furka2_15";"Furka2";"Montifringilla nivalis";;;;;"N   544327";;;;;;2015.00;;;;;;;;1.00;6.00;1.00;6;;;;;19.00;6.00;2.00;;6.00;;;;;6.00;"9";7.00;2.00;;;;;;;;;;"SOI";;;;
2;"Furka6_15";"Furka6";"Montifringilla nivalis";;;;;;;;;;;2015.00;;;;;;;;25.00;5.00;3.00;3;;;;;11.00;6.00;3.00;;2.00;;;;;2.00;"30";6.00;3.00;;;;;;;;;;"SOI";;;;
3;"Furka7_15";"Furka7";"Montifringilla nivalis";;;;;"N    65460";;;;;;2015.00;;;;;;;;25.00;5.00;3.00;3;;;;;11.00;6.00;3.00;;3.00;;;;;3.00;"30";6.00;3.00;;;;;;;;;;"SOI";;;;
4;"Furka8_15";"Furka8";"Montifringilla nivalis";;;;;;;;;;;2015.00;;;;;;;;1.00;7.00;1.00;4;;;;;;;;;0.00;;;;;0.00;;;;;;;;;;;;"female was breeding on 20. 7., 4 cold eggs on 14. Sept";"SOI";;;;
5;"Furka11_15";"Furka11";"Montifringilla nivalis";;;;;;;;;;;2015.00;;;;;;;;26.00;6.00;2.00;4;;;;;11.00;7.00;3.00;;4.00;;;;;4.00;"30";7.00;3.00;;;;;;;;;;"SOI";;;;
6;"Furka12_15";"Furka12";"Montifringilla nivalis";;;;;"N   544311";;;;;;2015.00;;;;;;;;31.00;5.00;2.00;4;;;;;17.00;6.00;2.00;;4.00;;;;;4.00;"7";7.00;2.00;;;;;;;;;;"SOI";;;;
7;"Furka18_15";"Furka18";"Montifringilla nivalis";;;;;;;;;;;2015.00;;;;;;;;15.00;5.00;2.00;4;;;;;1.00;6.00;2.00;;4.00;;;;;3.00;"21";6.00;2.00;;;;;;;;;;"SOI";;;;
8;"Furka19_15";"Furka19";"Montifringilla nivalis";;;;"N   544340";"N   544312";;;;;;2015.00;;;;;;;;18.00;6.00;2.00;5;;;;;6.00;7.00;2.00;;4.00;;;;;4.00;"28";7.00;2.00;;;;;;;;;;"SOI";;;;
9;"Furka20_15";"Furka20";"Montifringilla nivalis";;;;;;;;;;;2015.00;;;;;;;;31.00;5.00;1.00;4;;;;;17.00;6.00;1.00;;3.00;;;;;3.00;"7";7.00;1.00;;;;;;;;;;"SOI";;;;
10;"Furka11_16";"Furka11";"Montifringilla nivalis";88.20;48.00;;"alurring";"N   566706";;;;;;2016.00;;;;;;;;3.00;6.00;2.00;4;;;;;22.00;6.00;1.00;;2.00;;1.00;;;2.00;"12";7.00;1.00;;;;;;;;;"one cold egg removed, then another one removed when we put the artificial egg and then the biggest nestling N566724 one the floor on the 13.07.16, leg injured by the plastic ring A29, we put it back in the nest and on 14.07.16 fledged";"SOI";;;;
11;"Furka17_16";"Furka17";"Montifringilla nivalis";68.00;24.00;;;"N   566716";;;;;;2016.00;;;;;;;;31.00;5.00;2.00;4;;;;;17.00;6.00;2.00;;4.00;;0.00;;;3.00;"8";7.00;0.00;;;;;;;;;"one chick N566722 died between the 01.07.16 and 04.01.16";"SOI";;;;
12;"Furka14_16";"Furka14";"Montifringilla nivalis";79.30;40.00;;;"N   566707";;;;;;2016.00;;;;;;;;15.00;6.00;1.00;4;;;;;2.00;7.00;1.00;;2.00;;1.00;;;2.00;"23";7.00;2.00;;;;;;;;;"one egg removed when we put the artificial egg and one did not hatched, 22.07.2016 still one chick inside, 25 empty";"SOI";;;;
13;"Furka12_16";"Furka12";"Montifringilla nivalis";82.70;48.00;;"alusilver?";"alusilver?";;;;;;2016.00;;;;;;;;13.00;6.00;1.00;4;;;;;28.00;6.00;1.00;;4.00;;0.00;;;4.00;"18";7.00;2.00;;;;;;;;;"they fledge the 17-18 or 19.07.2016, we observed nestlings training on the 21.07.2016/the samllest E77 was not flying.";"SOI";;;;
14;"Furka1_16";"Furka1";"Montifringilla nivalis";;;;"N   566738";"silveralur";;;;;;2016.00;;;;;;;;29.00;6.00;1.00;4;;;;;14.00;7.00;1.00;;4.00;;0.00;;;4.00;"4";8.00;1.00;;;;;;;;;;"SOI";;;;
15;"Furka16_16";"Furka16";"Montifringilla nivalis";67.10;50.00;;;;;;;;;2016.00;;;;;;;;1.00;6.00;2.00;5;;;;;;;;;0.00;;;;;0.00;;;;;;;;;;;;"there were 5 hot eggs when we arrived on the 6th of june. Female stopped incubating. Chicks did not hatch";"SOI";;;;
16;"Furka_building_4_16";"Furka_building_4";"Montifringilla nivalis";;;;;;;;;;;2016.00;;;;;;;;;;;;;;;;23.00;6.00;2.00;;;;;;;;"13";7.00;2.00;;;;;;;;;"one chick(around 17_18day old) fall out of nest the 10.07.2016 --> parents were feeding it";"SOI";;;;
17;"Hotel_Furka_16";"Hotel_Furka";"Montifringilla nivalis";;;;;;;;;;;2016.00;;;;;;;;;;;;;;;;19.00;6.00;2.00;;;;;;;;"9";7.00;1.00;;;;;;;;;"last observation 7.7.2016; 10.7.2016 nothing --> observation Florian?";"SOI";;;;
18;"Tiefenbach_1_16";"Tiefenbach_1";"Montifringilla nivalis";;;;;"N   566705";;;;;;2016.00;;;;;;;;;;;;;;;;16.00;6.00;2.00;;;;;;;;"6";7.00;2.00;;;;;;;;;"last observation 05.07.2016 --> close to fledge";"SOI";;;;
19;"Furka_wooden_building_10_16";"Furka_wooden_building_10";"Montifringilla nivalis";;;;"N   544310";"N   566719";;;;;;2016.00;;;;;;;;;;;;;;;;27.00;6.00;2.00;;;;;;;;"17";7.00;2.00;;;;;;;;;"last observation 15.07 / on 19.07 they already fledged";"SOI";;;;
20;"Furka_building_11_ibex_left_16";"Furka_building_11_ibex_left";"Montifringilla nivalis";;;;"N   544309";;;;;;;2016.00;;;;;;;;;;;;;;;;19.00;6.00;2.00;;;;;;;;"9";7.00;1.00;;;;;;;;;"Chick fledged between 08.07.2017 and 10.07.2017 morning";"SOI";;;;
21;"Furka_building_11_ibex_right_16";"Furka_building_11_ibex_right";"Montifringilla nivalis";;;;;;;;;;;2016.00;;;;;;;;;;;;;;;;22.00;6.00;2.00;;;;;;;2.00;"12";7.00;1.00;;;;;;;;;"two chicks on the 11.07 and only one chick on the 12.07 / one chick found by erika dead…";"SOI";;;;
22;"Grimsel_church_behind_Grim2_16";"Grimsel_church_behind_Grim2";"Montifringilla nivalis";;;;;;;;;;;2016.00;;;;;;;;5.00;6.00;5.00;;;;;;22.00;6.00;2.00;;;;;;;;"12";7.00;1.00;;;;;;;;;"last observation with chicks on the 11.07. on 13.07 nothing";"SOI";;;;
23;"Grimsel_skipole_16";"Grimsel_skipole";"Montifringilla nivalis";;;;;;;;;;;2016.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SOI";;;;
24;"Grimsel_hotel_left_16";"Grimsel_hotel_left";"Montifringilla nivalis";;;;;;;;;;;2016.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SOI";;;;
25;"Barn_Valais_front_16";"Barn_Valais_front";"Montifringilla nivalis";;;;;;;;;;;2016.00;;;;;;;;;;;;;;;;22.00;7.00;0.00;;;;;;;0.00;;;;;;;;;;;"predation";"jaime saw feeding on the 22.07.2016/ on 21 it was still incubating//chicks predated between the 28.201607 and the 04.08.2016";"SOI";;;;
26;"Furka28_16";"Furka28";"Montifringilla nivalis";73.20;15.00;;;;;;;;;2016.00;;;;;;;;14.00;6.00;1.00;4;;;;;;;;;0.00;;;;;0.00;;;;;;;;;;;"female killed in nets";"dead female in net";"SOI";;;;
27;"Furka5_16";"Furka5";"Montifringilla nivalis";82.90;72.00;;;"N   566701";;;;;;2016.00;;;;;;;;27.00;5.00;5.00;4;;;;;;;;;0.00;;;;;0.00;;;;;;;;;;;"female killed in nets";"dead female in net/ was already incubating when we arrived on the 06.06.2016, still incubating when female died on 14.6.";"SOI";;;;
28;"Furka2_16";"Furka2";"Montifringilla nivalis";67.30;145.00;;;;;;;;;2016.00;;;;;;;;1.00;6.00;3.00;4;;;;;17.00;6.00;1.00;;2.00;;1.00;;;0.00;;;;;;;;;;;"unknown";"big chick hatched on 17-18/06/2016, smallest on 18.06.2016, smallest died between 19 and 22 and the biggest between 22 and 25.06.2016";"SOI";;;;
29;"Furka28_17";"Furka28";"Montifringilla nivalis";76.10;;;"unringed";"N   566716";;;;;;2017.00;;;;;;;;20.00;5.00;3.00;4;;;;;5.00;6.00;1.00;;4.00;;1.00;;;4.00;"26";6.00;2.00;;;;;;;;;"4 chicks fledged between the 24 and the 27 06 2017 see button data";"SOI";;;;
30;"Furka1_1_17";"Furka1";"Montifringilla nivalis";151.30;;;"unringed";"N   544311";;;;;;2017.00;;;;;;;;26.00;5.00;3.00;3;;;;;12.00;6.00;1.00;;3.00;;1.00;;;;;;;;;;;;;;"killed by closed nest entrance";"beginning incubation 29-30-05-2017 (see thermo logger data), cold eggs on 29 05 2017, estimated hatching date 11-12 06 2017, 1st measurement on the 16 6 2017 : 4.5 days (1d), dead 18 6 2017: 4.5-6.5 days, trap not removed to days before. In the freezer.";"SOI";;;;
31;"Furka9_17";"Furka9";"Montifringilla nivalis";85.20;;;"N   588207";"N   588208";;;;;;2017.00;;;;;;;;27.00;5.00;1.00;3;;;;;13.00;6.00;1.00;;2.00;;1.00;;;2.00;"3";7.00;2.00;;;;;;;;"egg broken due to handling";"one egg has been broken by us, 2 chicks fledged between the 30 06 2017 and the 03 07 2017 see button data";"SOI";;;;
32;"Furka17_17";"Furka17";"Montifringilla nivalis";;;;"N   566702";"N   588206";;;;;;2017.00;;;;;;;;27.00;5.00;1.00;4;;;;;13.00;6.00;1.00;;4.00;;;;;4.00;"4";7.00;2.00;;;;;;;;;"4 chicks fledged between the 03062017 and the 06062017  see button data, G36, H14 and G01 observed flying around the colony on the 06072017";"SOI";;;;
33;"Grimsel3_17";"Grimsel3";"Montifringilla nivalis";92.00;;;"N   588201";"unringed";;;;;;2017.00;;;;;;;;31.00;5.00;4.00;5;;;;;16.00;6.00;1.00;;2.00;;;;;2.00;"5";7.00;2.00;;;;;;;;;"2 chicks fledged between the 03.07.2017 and the 06.07.2017  see button data";"SOI";;;;
34;"Furka1_2_17";"Furka1";"Montifringilla nivalis";151.30;;;"unringed";"N   544311";;;;;;2017.00;;;;;;;;24.00;6.00;1.00;5;;;;;10.00;7.00;1.00;;5.00;;1.00;;;5.00;"31";7.00;1.00;;;;;;;;;"3 chicks hatched on the 10.07.2017 and two others one or 2 days after, the 13.07.2017,E00 and JJ3 out of the nest, at least on chick still inside, male foraging, 03082017 empty, A02 observed on roof building 6";"SOI";;;;
35;"Furka30_17";"Furka30";"Montifringilla nivalis";54.90;;;;;"unringed";"unringed";;;;2017.00;;;;;;;;27.00;6.00;1.00;3;;;;;16.00;7.00;0.00;;3.00;;;;;0.00;;;;;;;;;;;"2 chicks not fed by parents, one disappeared";"the egg laid in Furka 29 must be an egg of Furka30, 26.07.2017 try captured adults 10 min, 27.07.2017 male foraging the chicks, 3 chicks alive on the 30.07.2017, but lost weight, parents not feeding them, nestlings A00-G33 deads the same day";"SOI";;;;
36;"Hotel_Furka_17";"Hotel_Furka";"Montifringilla nivalis";;;;;;"unringed";"NA";;;;2017.00;;;;;;;;;;;;;;;;17.00;6.00;2.00;;;;;;;;"7";7.00;2.00;;;;;;;;;"Still foraging on the 06072017, X chicks fledged between the 06072017 and the 09072017";"SOI";;;;
37;"Furka_building_9_17";"Furka_building_9";"Montifringilla nivalis";;;;;;"NA";"NA";;;;2017.00;;;;;;;;;;;;;;;;8.00;6.00;2.00;;;;;;;;"28";6.00;2.00;;;;;;;;;"X chicks fledged between  the 27062017 and the 30062017";"SOI";;;;
38;"Furka_building_11_ibex_right_17";"Furka_building_11_ibex_right";"Montifringilla nivalis";;;;"unringed";"unringed";"unringed";;;;;2017.00;;;;;;;;;;;;;;;;14.00;6.00;2.00;;;;;;;;"4";7.00;2.00;;;;;;;;;"X chicks fledged between the 03072017 and the 06072017";"SOI";;;;
39;"Furka_building_8_17";"Furka_building_8";"Montifringilla nivalis";;;;;;"unringed";"NA";;;;2017.00;;;;;;;;;;;;;;;;17.00;6.00;2.00;;;;;;;;"7";7.00;2.00;;;;;;;;;"Still foraging on the 06072017, chicks fledged between 06072017 and 09072017";"SOI";;;;
